"","it","alpha","N","E","D","C","L","w","SWI"
"1475",68,1.45,234,1326,0.0486409155937053,0.0973101265822785,2.57081545064378,0.376831745982521,0.0447211034937996
"1476",69,1.45,236,1358,0.0489722322394519,0.10696389567005,2.56877028489001,0.391905391037204,0.052387366827152
"1477",70,1.45,238,1443,0.0511647697053505,0.10989932885906,2.52448321100592,0.3969486638039,0.0512278717434085
"1478",71,1.45,240,1492,0.0520223152022315,0.106415094339623,2.50463737796374,0.393898643468466,0.0465779731467525
"1479",72,1.45,242,1448,0.0496553616131134,0.106255749770009,2.54771784232365,0.395796944720045,0.0493912392753526
"1480",73,1.45,244,1583,0.0533967482965661,0.111561279120243,2.49136477096404,0.407311425606382,0.0474428610787819
"1481",74,1.45,246,1604,0.0532271445163431,0.114042553191489,2.48607930977269,0.409945363877579,0.049413575171228
"1482",75,1.45,248,1600,0.0522397805929215,0.101221554526648,2.49461277262635,0.394871224748346,0.0401477837925502
"1483",76,1.45,250,1572,0.0505060240963855,0.11271676300578,2.52098717450447,0.408961480937525,0.0517453367693928
"1484",77,1.45,252,1643,0.0519509264529185,0.113300492610837,2.50082210839183,0.413324327457687,0.0492218658419463
"1485",78,1.45,254,1732,0.0539043291525318,0.106959676410492,2.46017864367745,0.405861345677697,0.0411026964157159
"1486",79,1.45,256,1713,0.0524816176470588,0.109883572703323,2.48921568627451,0.412761734226886,0.0446749528538609
"1487",80,1.45,258,1639,0.0494374566404247,0.112325356204178,2.53180707628269,0.414271614801091,0.0510855302242144
"1488",81,1.45,260,1761,0.0523017523017523,0.114496233131882,2.49209979209979,0.421954171956079,0.0473167954687574
"1489",82,1.45,262,1717,0.0502178935977304,0.101144285150598,2.50723874703869,0.402504268591851,0.0402758577917766
"1490",83,1.45,264,1741,0.0501497868418021,0.111035218783351,2.52275607788916,0.419873423833412,0.0470739081120597
"1491",84,1.45,266,1717,0.0487161299475103,0.0997394195345494,2.52242871329267,0.401254840793561,0.0407434369574306
"1492",85,1.45,268,1862,0.0520431550114596,0.104188542760471,2.47420202358992,0.411498493774027,0.0385710754995488
"1493",86,1.45,270,1996,0.0549635136995732,0.117837018486177,2.42913396668044,0.429385662274144,0.0433009765818525
"1494",87,1.45,272,1960,0.0531799435641415,0.117749581706637,2.46350662036032,0.432914854299785,0.0450966671677322
"1495",88,1.45,274,1907,0.0509879414988904,0.110749065057207,2.48394427956472,0.422186022542929,0.0436023722177819
"1496",89,1.45,276,1994,0.0525428194993412,0.1136340598074,2.46613965744401,0.42963000864471,0.0423069442388042
"1497",90,1.45,278,1997,0.0518660883567514,0.106996587030717,2.46606757914968,0.420678882451887,0.0385961123140614
"1498",91,1.45,280,1993,0.0510240655401946,0.105464231888122,2.46940604198669,0.417622543017346,0.0386291215673707
"1499",92,1.45,282,1987,0.0501501728881149,0.107957156491923,2.47959415461498,0.420836427093764,0.0413548239594094
"1500",93,1.45,284,2067,0.0514358234210919,0.101187929843035,2.4538645299358,0.413841487548229,0.0343437268664797
"1501",94,1.45,286,1994,0.0489265120844068,0.104572106910321,2.49100723837566,0.4175774356009,0.0401110602208367
"1502",95,1.45,288,2169,0.0524825783972125,0.103282408107699,2.43704026325978,0.419737698125367,0.033245284447006
"1503",96,1.45,290,2094,0.0499701706240306,0.101751733657607,2.47858250805393,0.419533311663389,0.0353492674464741
"1504",97,1.45,292,2080,0.0489573035823565,0.1118582523619,2.49976462834816,0.433601159477187,0.0431308181104585
"1505",98,1.45,294,2306,0.053539504539017,0.110447279186178,2.42399758538228,0.433763071008275,0.0343343644890511
"1506",99,1.45,296,2249,0.0515116811726981,0.10986111513816,2.45153458543289,0.433378445205137,0.0367252834320484
"1507",100,1.45,298,2359,0.0533071204212144,0.117742611611821,2.4222086638194,0.443589465221405,0.0380008545614112
"1508",101,1.45,300,2256,0.0503010033444816,0.108878639377342,2.47199554069119,0.435545153748048,0.0368261263309625
"1509",102,1.45,302,2287,0.0503179247981343,0.105651175319704,2.452663307738,0.428164483580874,0.035006403800342
"1510",103,1.45,304,2379,0.0516545075560188,0.105834786744887,2.43564356435644,0.43135267132825,0.0323114014033327
"1511",104,1.45,306,2366,0.0507018107789564,0.10627497569932,2.45162327225972,0.433505850517872,0.0334551587566432
"1512",105,1.45,308,2419,0.0511654469309192,0.103808621263735,2.43851262743771,0.430733627709664,0.0309583991131239
"1513",106,1.45,310,2534,0.0529074016076835,0.111092553267639,2.41962626578975,0.442833968566518,0.0313481803956912
"1514",107,1.45,312,2449,0.050478192761151,0.111774962818606,2.45135625360706,0.443127053615643,0.0354354037302701
"1515",108,1.45,314,2497,0.050812966769093,0.111266774811975,2.43725198917401,0.441638032786646,0.0343720326905888
"1516",109,1.45,316,2593,0.0520996584287724,0.108286731062532,2.41818364476592,0.440177861527697,0.0299421686031906
"1517",110,1.45,318,2485,0.0493026208757415,0.116968990676936,2.46610320814237,0.452006572505861,0.0387498714813905
"1518",111,1.45,320,2783,0.0545258620689655,0.109317651830072,2.38189655172414,0.444217207677248,0.0253014150445315
"1519",112,1.45,322,2647,0.0512180491863547,0.120566089086456,2.44269654224957,0.461112696693527,0.0352362184282087
"1520",113,1.45,324,2660,0.0508351488743646,0.105440703849748,2.42841035049497,0.439985303748457,0.0285335592373944
"1521",114,1.45,326,2626,0.0495705521472393,0.102467712177122,2.44224634261444,0.43615691445517,0.0287002462844728
"1522",115,1.45,328,2769,0.0516334750503468,0.103697290905636,2.4131050943537,0.440097675463601,0.0253522990673961
